id,<=3,Ejercicio,O1,O2,O3,O4,O5,Respuesta,W1,W2,W3,W4,Contenido,Molde,Or_Dificultad,Dificultad,Habilidad,aux_n1,aux_n2,aux_n3,aux_n4,aux_n5,aux_n6,aux_n7,aux_n8,aux_n9,aux_n10,aux_n11,aux_n12,aux_n13,aux_n14,aux_n15,aux_n16,aux_n17,aux_n18,aux_n19,aux_n20,aux_n21,aux_n22,aux_n23,aux_n24,aux_n25,aux_n26,aux_n27,aux_n28,aux_n29,aux_n30,aux_n31,aux_n32,aux_n33,aux_n34,aux_n35,aux_n36,aux_n37,aux_n38,aux_n39,aux_n40,aux_n41,aux_n42,3,4,5,6,7,8,9,10,excercise_id,
30,,"Exprese en lenguaje algebraico el quíntuple de un número, disminuido en `19` unidades.",,,,,,`5x - 19`,`2x - 19`,`x - 19`,`5x + 19`,`5 - 19`,9,A,0.5,300,Identificar,el quíntuple,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
31,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `20` unidades.",,,,,,`x/2 - 20`,`2x - 20`,`x - 20`,`5x + 20`,`5 - 20`,9,A,0.666666667,400,Identificar,la mitad,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,
32,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `26` unidades.",,,,,,`x/2 - 26`,`2x - 26`,`x - 26`,`5x + 26`,`5 - 26`,9,A,0.666666667,400,Identificar,la mitad,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,
33,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `50` unidades.",,,,,,`x/2 - 50`,`2x - 50`,`x - 50`,`5x + 50`,`5 - 50`,9,A,0.666666667,400,Identificar,la mitad,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
34,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `18` unidades.",,,,,,`x/2 - 18`,`2x - 18`,`x - 18`,`5x + 18`,`5 - 18`,9,A,0.666666667,400,Identificar,la mitad,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,
35,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `47` unidades.",,,,,,`x/2 - 47`,`2x - 47`,`x - 47`,`5x + 47`,`5 - 47`,9,A,0.666666667,400,Identificar,la mitad,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,
36,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `44` unidades.",,,,,,`x/2 - 44`,`2x - 44`,`x - 44`,`5x + 44`,`5 - 44`,9,A,0.666666667,400,Identificar,la mitad,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,
37,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `28` unidades.",,,,,,`x/2 - 28`,`2x - 28`,`x - 28`,`5x + 28`,`5 - 28`,9,A,0.666666667,400,Identificar,la mitad,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,
38,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `3` unidades.",,,,,,`x/2 - 3`,`2x - 3`,`x - 3`,`5x + 3`,`5 - 3`,9,A,0.666666667,400,Identificar,la mitad,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,
39,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `2` unidades.",,,,,,`x/2 - 2`,`2x - 2`,`x - 2`,`5x + 2`,`5 - 2`,9,A,0.666666667,400,Identificar,la mitad,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,
40,,"Exprese en lenguaje algebraico la mitad de un número, disminuido en `39` unidades.",,,,,,`x/2 - 39`,`2x - 39`,`x - 39`,`5x + 39`,`5 - 39`,9,A,0.666666667,400,Identificar,la mitad,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,
41,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `43` unidades.",,,,,,`x/4 - 43`,`4x - 43`,`x - 43`,`5x + 43`,`4 - 43`,9,A,0.833333333,500,Identificar,un cuarto,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,
42,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `50` unidades.",,,,,,`x/4 - 50`,`4x - 50`,`x - 50`,`5x + 50`,`4 - 50`,9,A,0.833333333,500,Identificar,un cuarto,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,
43,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `43` unidades.",,,,,,`x/4 - 43`,`4x - 43`,`x - 43`,`5x + 43`,`4 - 43`,9,A,0.833333333,500,Identificar,un cuarto,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,
44,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `4` unidades.",,,,,,`x/4 - 4`,`4x - 4`,`x - 4`,`5x + 4`,`4 - 4`,9,A,0.833333333,500,Identificar,un cuarto,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,
45,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `25` unidades.",,,,,,`x/4 - 25`,`4x - 25`,`x - 25`,`5x + 25`,`4 - 25`,9,A,0.833333333,500,Identificar,un cuarto,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,
46,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `42` unidades.",,,,,,`x/4 - 42`,`4x - 42`,`x - 42`,`5x + 42`,`4 - 42`,9,A,0.833333333,500,Identificar,un cuarto,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,
47,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `5` unidades.",,,,,,`x/4 - 5`,`4x - 5`,`x - 5`,`5x + 5`,`4 - 5`,9,A,0.833333333,500,Identificar,un cuarto,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,
48,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `45` unidades.",,,,,,`x/4 - 45`,`4x - 45`,`x - 45`,`5x + 45`,`4 - 45`,9,A,0.833333333,500,Identificar,un cuarto,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,
49,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `27` unidades.",,,,,,`x/4 - 27`,`4x - 27`,`x - 27`,`5x + 27`,`4 - 27`,9,A,0.833333333,500,Identificar,un cuarto,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,
50,,"Exprese en lenguaje algebraico un cuarto de un número, disminuido en `20` unidades.",,,,,,`x/4 - 20`,`4x - 20`,`x - 20`,`5x + 20`,`4 - 20`,9,A,0.833333333,500,Identificar,un cuarto,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,
51,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `43` unidades.",,,,,,`x/4 - 43`,`4x - 43`,`x - 43`,`5x + 43`,`4 - 43`,9,A,1,600,Identificar,un sexto,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,
52,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `33` unidades.",,,,,,`x/4 - 33`,`4x - 33`,`x - 33`,`5x + 33`,`4 - 33`,9,A,1,600,Identificar,un sexto,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,
53,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `11` unidades.",,,,,,`x/4 - 11`,`4x - 11`,`x - 11`,`5x + 11`,`4 - 11`,9,A,1,600,Identificar,un sexto,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,
54,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `22` unidades.",,,,,,`x/4 - 22`,`4x - 22`,`x - 22`,`5x + 22`,`4 - 22`,9,A,1,600,Identificar,un sexto,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,
55,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `25` unidades.",,,,,,`x/4 - 25`,`4x - 25`,`x - 25`,`5x + 25`,`4 - 25`,9,A,1,600,Identificar,un sexto,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,
56,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `37` unidades.",,,,,,`x/4 - 37`,`4x - 37`,`x - 37`,`5x + 37`,`4 - 37`,9,A,1,600,Identificar,un sexto,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,
57,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `46` unidades.",,,,,,`x/4 - 46`,`4x - 46`,`x - 46`,`5x + 46`,`4 - 46`,9,A,1,600,Identificar,un sexto,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,
58,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `33` unidades.",,,,,,`x/4 - 33`,`4x - 33`,`x - 33`,`5x + 33`,`4 - 33`,9,A,1,600,Identificar,un sexto,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,
59,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `4` unidades.",,,,,,`x/4 - 4`,`4x - 4`,`x - 4`,`5x + 4`,`4 - 4`,9,A,1,600,Identificar,un sexto,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,
60,,"Exprese en lenguaje algebraico un sexto de un número, disminuido en `49` unidades.",,,,,,`x/4 - 49`,`4x - 49`,`x - 49`,`5x + 49`,`4 - 49`,9,A,1,600,Identificar,un sexto,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,
61,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `30` ovejas. ",,,,,,`4 · (Y - 30)`,`4Y`,`Y - 4 · 30`,`4Y + 30`,`4Y - 30`,9,B,1,800,Aplicar,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,
62,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `7` ovejas. ",,,,,,`4 · (Y - 7)`,`4Y`,`Y - 4 · 7`,`4Y + 7`,`4Y - 7`,9,B,1,800,Aplicar,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,
63,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `22` ovejas. ",,,,,,`4 · (Y - 22)`,`4Y`,`Y - 4 · 22`,`4Y + 22`,`4Y - 22`,9,B,1,800,Aplicar,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,
64,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `4` ovejas. ",,,,,,`4 · (Y - 4)`,`4Y`,`Y - 4 · 4`,`4Y + 4`,`4Y - 4`,9,B,1,800,Aplicar,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,
65,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `49` ovejas. ",,,,,,`4 · (Y - 49)`,`4Y`,`Y - 4 · 49`,`4Y + 49`,`4Y - 49`,9,B,1,800,Aplicar,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,
66,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `9` ovejas. ",,,,,,`4 · (Y - 9)`,`4Y`,`Y - 4 · 9`,`4Y + 9`,`4Y - 9`,9,B,1,800,Aplicar,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,
67,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `28` ovejas. ",,,,,,`4 · (Y - 28)`,`4Y`,`Y - 4 · 28`,`4Y + 28`,`4Y - 28`,9,B,1,800,Aplicar,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,
68,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `5` ovejas. ",,,,,,`4 · (Y - 5)`,`4Y`,`Y - 4 · 5`,`4Y + 5`,`4Y - 5`,9,B,1,800,Aplicar,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,
69,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `40` ovejas. ",,,,,,`4 · (Y - 40)`,`4Y`,`Y - 4 · 40`,`4Y + 40`,`4Y - 40`,9,B,1,800,Aplicar,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,
70,1,"Considerando un rebaño de `Y` número de ovejas , exprese en lenguaje algebraico la cantidad de patas del rebaño si se mueren `37` ovejas. ",,,,,,`4 · (Y - 37)`,`4Y`,`Y - 4 · 37`,`4Y + 37`,`4Y - 37`,9,B,1,800,Aplicar,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,
71,,Suponiendo que Pablo tiene `Y` pesos. Se sabe que Paula tiene `311` pesos más que Pablo. Además Tomás tiene el doble de dinero que Paula. Exprese en lenguaje algebraico la cantidad de dinero que tiene Ximena si ella tiene `458` pesos menos que Tomás. ,,,,,,`2 · (Y + 311) - 458`,`(Y + 311)`,`2 · (Y + 311 - 458)`,`2 · (Y - 458)`,`2 · (Y + 458)`,9,C,0.166666667,458.3333333,Analizar,el doble,311,458,Pablo,Pedro,Pablo,Juan,Paula,Isabel,Maria,Paula,Tomás,Benjamín,Andrés,Tomás,Ximena,Sofia,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,
72,,Suponiendo que Pedro tiene `Y` pesos. Se sabe que Paula tiene `391` pesos más que Pedro. Además Tomás tiene el doble de dinero que Paula. Exprese en lenguaje algebraico la cantidad de dinero que tiene Ximena si ella tiene `155` pesos menos que Tomás. ,,,,,,`2 · (Y + 391) - 155`,`(Y + 391)`,`2 · (Y + 391 - 155)`,`2 · (Y - 155)`,`2 · (Y + 155)`,9,C,0.166666667,458.3333333,Analizar,el doble,391,155,Pedro,Pedro,Pablo,Juan,Paula,Isabel,Maria,Paula,Tomás,Benjamín,Andrés,Tomás,Ximena,Sofia,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,
73,,Suponiendo que Pablo tiene `Y` pesos. Se sabe que Paula tiene `287` pesos más que Pablo. Además Andrés tiene el doble de dinero que Paula. Exprese en lenguaje algebraico la cantidad de dinero que tiene Carolina si ella tiene `349` pesos menos que Andrés. ,,,,,,`2 · (Y + 287) - 349`,`(Y + 287)`,`2 · (Y + 287 - 349)`,`2 · (Y - 349)`,`2 · (Y + 349)`,9,C,0.166666667,458.3333333,Analizar,el doble,287,349,Pablo,Pedro,Pablo,Juan,Paula,Isabel,Maria,Paula,Andrés,Benjamín,Andrés,Tomás,Carolina,Sofia,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,
74,,Suponiendo que Juan tiene `Y` pesos. Se sabe que Paula tiene `317` pesos más que Juan. Además Tomás tiene el doble de dinero que Paula. Exprese en lenguaje algebraico la cantidad de dinero que tiene Ximena si ella tiene `299` pesos menos que Tomás. ,,,,,,`2 · (Y + 317) - 299`,`(Y + 317)`,`2 · (Y + 317 - 299)`,`2 · (Y - 299)`,`2 · (Y + 299)`,9,C,0.166666667,458.3333333,Analizar,el doble,317,299,Juan,Pedro,Pablo,Juan,Paula,Isabel,Maria,Paula,Tomás,Benjamín,Andrés,Tomás,Ximena,Sofia,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,
75,,Suponiendo que Pablo tiene `Y` pesos. Se sabe que Maria tiene `192` pesos más que Pablo. Además Benjamín tiene el doble de dinero que Maria. Exprese en lenguaje algebraico la cantidad de dinero que tiene Carolina si ella tiene `285` pesos menos que Benjamín. ,,,,,,`2 · (Y + 192) - 285`,`(Y + 192)`,`2 · (Y + 192 - 285)`,`2 · (Y - 285)`,`2 · (Y + 285)`,9,C,0.166666667,458.3333333,Analizar,el doble,192,285,Pablo,Pedro,Pablo,Juan,Maria,Isabel,Maria,Paula,Benjamín,Benjamín,Andrés,Tomás,Carolina,Sofia,Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,
